pdate,video_id,channelId,title,channelTitle,candidate
2017-01-17,LRvRBJqA_dU,UC1aS5CRRDrN6CmR2VcpmetA,'반기문 퇴주잔'의 진실은?,한국일보(hankookilbo.com),반기문
2013-01-27,0-zfwNBmFvw,UCr0NrGjIpZozyj2aVcAVFSA,영어발음 의 기준 (반기문총장-한국인과 외국인의 평가),최일,반기문
2017-01-12,KXR042mxiO4,UCRYOOiIwYH73Y1n2HBCZfKQ,반기문 팽목항,Rainbow Snail,반기문
2017-01-19,ogP0yEBfhaM,UC-_FS-QRtuWQzx25ctompcw,반기문 ‘가시밭길’…위안부 질문에 “나쁜 X들”,AAAnews,반기문
2017-01-17,oeUJZU043DQ,UCYaCzfMBuo3tqGtRhoFEtIQ,반기문 퇴주잔 논란중 08년 부친 제사모습,YB Choi,반기문
2017-01-16,xFhrn_J7zgM,UCkfTXCGAzWTHLdP3sXEizaA,반기문과 박근혜! 이 둘의 충격적인 공통점! 공짜인생!,코리아리얼,반기문
2017-01-11,8wpcPg3-ZpQ,UCY_4SqEcnswYa-oy6IFqsRQ,'반기문'은 없다 - 기본능력 조차 없다...[김종대의원 융단폭격],0828kkk,반기문
2017-01-20,uagC9Zq3_I0,UCRYOOiIwYH73Y1n2HBCZfKQ,반반 반푼이 반기문,Rainbow Snail,반기문
2017-01-24,xVkYZsBpkPg,UCn-4MP_024Y29Ea7PKiVCmg,"반기문의 끝없는 헛발질, 점점 멀어진다 -김어준-",시민의 justice,반기문
2017-01-18,zrtKf-FrOz0,UCpaU4A_LGDRNyxDLw6yT8Mw,반기문 초청토론회에서 한학생의 당찬 질문! 내질문에 구체적으로 답하라!,Valuable contents creator,반기문
2017-01-21,hqQ2iBErAII,UC16rqdr70gTTiRP4buiDwqw,"정청래, 반기문을 말하다, 절대 디스아님",cinepot TV,반기문
2017-01-17,34j8CYXRdKY,UCRYOOiIwYH73Y1n2HBCZfKQ,반기문-퇴주잔 원샷!,Rainbow Snail,반기문
2017-01-17,hGBZ7nv8NMs,UCICOWFDRztY4V_YAdqueuGg,반기문 퇴주잔 (풀버전) 디씨 주갤,갤러 주,반기문
2016-12-10,Mvp8d9KMyt8,UCsU-I-vHLiaMfV_ceaYz5rQ,"'뉴스룸' 손석희X유시민 ""이재명은 '신상품', 반기문은…""",JTBC News,반기문
2017-01-19,n_WtYTQu5U0,UCWlV3Lz_55UaX4JsMj-z__Q,언론에 뿔난 반기문…거리두는 여야 정치권,TVCHOSUN 뉴스,반기문
2017-01-16,wQgqZ8gewwI,UCFxfrVnMtDddECyKgjfcsAw,[극혐주의]반기문의 뻘짓거리 서민 코스프레 시리즈 영상,데일리노트,반기문
2017-01-17,Vqgd8JfE9q0,UCG9aFJTZ-lMCHAiO1KJsirg,"""돈 부족해 힘들다""…반기문, 현실정치 난관",MBN,반기문
2017-01-16,-flDADKGdZg,UC8KtGHROfQ3rZuuchnUs1Hg,반기문 턱받이 진실 동영상,불끈불끈,반기문
2017-01-08,ybAs7JR8CJs,UCkfTXCGAzWTHLdP3sXEizaA,나경원은 대선을 노리고있다! 충격적인분석!그리고 반기문!,코리아리얼,반기문
2017-01-12,51ggHB2gdPs,UCR0VAgd0w8QI7WWQ0E8Srdw,[황장수의 정치분석] 반기문 총장은 왜 남의 텃밭에서 놀려고 하나? (2017.01.12) 4부,o 황장수의 뉴스브리핑,반기문
2017-01-15,qnuonRhzuOU,UCk_XCWJNXPui2y_1Ty5sMhQ,"유시민의 반기문 분석 ""이게 제정신이에요?""",이슈와 화제,반기문
2016-12-26,9GpwIE5Fnvw,UCR0VAgd0w8QI7WWQ0E8Srdw,[황장수의 정치분석] '반기문 23만불 수수 의혹'의 배경과 왜 이 시점? (2016.12.26) 1부,o 황장수의 뉴스브리핑,반기문
2017-01-16,rg8u4dCY7Zs,UCLiK08tsWKL5bNoz1f8sHsw,[발칙한뉴스] 반기문 턱받이의 진실? 그냥..안 하시면 안 되나요,MediaVOP,반기문
2017-01-26,ogEONeJM3nA,UCfq4V1DAuaojnr2ryvWNysw,"반기문 지고 황교안 뜬다? 黃, 반기문의 대체재?",채널A 뉴스 [Channel A News],반기문
2017-01-20,ZBeGURh7YEU,UCs8WGCFy8iJWtxEGiJrcsdw,"장시호 배신, 또 다른 가능성 | 반기문 집으로",김어준,반기문
2017-01-09,atl292hcApE,UCkfTXCGAzWTHLdP3sXEizaA,"안희정! ""반기문은 노무현 대통령과의 신의를 못지켰다! 지도자로서 자격이 없다!""",코리아리얼,반기문
2017-01-26,RYksUNddsBI,UCRYOOiIwYH73Y1n2HBCZfKQ,바른정당 반기문 쉽지 않다.,Rainbow Snail,반기문
2017-01-19,WDGTpPswsr8,UCa97kDUvLn9OSn9xTX0uM_g,"반기문과 이명박, 손 꽉 잡았다",NocutV,반기문
2017-01-18,fTdz9oAMj9w,UCLiK08tsWKL5bNoz1f8sHsw,[백반토론] '담백한 기름장어' 반기문은 박근혜 따라쟁이,MediaVOP,반기문
2016-12-24,zbizSttKw7c,UCLiK08tsWKL5bNoz1f8sHsw,중학생이 새누리당과 반기문 총장에게 전하는 충고(대박 공감),MediaVOP,반기문
2017-01-07,Qwe341bOcFo,UCRYOOiIwYH73Y1n2HBCZfKQ,대통령 되고픈 기회주의자 반기문과 총리를 하고픈 추호 김종인,Rainbow Snail,반기문
2017-01-21,ldfL1gjG0KM,UC_vrmhZIERphoDKuD1hHfWQ,"[속보] 미국 정부, 한국 법무부에 반기문 동생 반기상 체포 요청",btnohit,반기문
2017-01-23,7GJ9Eyc5bJ8,UCs18sMwqTCMBmTqX0b2-w6A,반기문 조카 반주현는 병역기피자. 반기문 치명타.,유재일,반기문
2017-01-19,1MS-ob7vOaE,UCKh-rvePAdYIPIy7CaO0HeA,"|대선 후보| 반기문, 나를 비판하면 대한민국을 비판하는 것. ㄷㄷㄷ 언론 강하게 비판. 더이상 위안부에 대해 앞으로 언론에 아무런 애기하지 않겠다.",BJ KANG,반기문
2017-01-19,yFmxyvlrQl4,UCuw1hxBo5mDVUhgMzRDk3aw,카이스트 방문한 반기문에 학생들 피켓시위! [전원책의 이것이 정치다] 64회 20170119,TVCHOSUN,반기문
2017-01-19,MH7yZWSVYaw,UCYBhIiC9UPtUsEVfMdnmhlA,KAIST 학생들이 '반기문'을 반기믄 안되지~ 반반(反潘)한 KAIST 학생들..,jaegeun Im,반기문
2017-01-26,SUmMtbfbAAA,UCTHCOPwqNfZ0uiKOvFyhGwg,"반기문, 개헌 고리 '빅텐트' 가속…이르면 내일 손학규와 회동 / 연합뉴스TV (Yonhapnews TV)",연합뉴스 TV,반기문
2017-01-20,q5RSXDjRci4,UChlgI3UHCOnwUGzWzbJ3H5w,"반기문, 날마다 구설수... 왜? / YTN (Yes! Top News)",YTN NEWS,반기문
2017-01-22,iweWxCy6xO0,UCkfTXCGAzWTHLdP3sXEizaA,반기문! 대통령이 될수 없는이유! 이명반근혜! 첫단추를 잘못 채웠다!,코리아리얼,반기문
2010-02-04,j81QJfjZiBk,UCbWcQmEnqA3TZRm2j9DMi6A,반기문 UN 사무총장직 수락 연설,yourkorea2,반기문
2017-01-26,4conVIjJzBc,UCTHCOPwqNfZ0uiKOvFyhGwg,"반기문ㆍ손학규, 이르면 내일 회동…개헌고리 '빅텐트' 모색 / 연합뉴스TV (Yonhapnews TV)",연합뉴스 TV,반기문
2017-01-17,tD2rZ5UZ2E8,UClAfLVQYZSLrMAQQ_SXPVZw,"메모없이 방명록 쓴 반기문, '사람사는 사회?'",OhmynewsTV,반기문
2017-01-11,ic9FsXrFr_o,UCn-4MP_024Y29Ea7PKiVCmg,[갓청래의 사이다!!] 반기문과 손학규 국민의 당 탈탈 터는 정청래 !!,시민의 justice,반기문
2017-01-19,-oPAHOZ1xQo,UC5kzcdN-QNhIy7oiH8qoU2Q,[반기문 음성 공개] 기자들이 나쁜놈들? 국민들이 속고 있다?,후레드군,반기문
2017-01-18,WXYC1YfXi1Y,UC1Zl6SMd7o4HMXv8RhPvgjw,반기문 전 총장이 광주 조선대강연에서 남긴 말말말,광주드림,반기문
2017-01-11,rIVUfm4qz3w,UCsU-I-vHLiaMfV_ceaYz5rQ,"[단독] 반기문 조카, 뇌물 혐의로 체포…동생도 기소",JTBC News,반기문
2016-12-29,Tnq93XCrxis,UCuw1hxBo5mDVUhgMzRDk3aw,김종인 前 더민주 대표 출연 - 반기문 총장과의 연대 가능성은? [박종진 라이브쇼] 161229,TVCHOSUN,반기문
2017-01-20,2HjSlwM38sk,UCxvkwrPb2O6R1wWZSzU9PRQ,"jtbc 썰전 이후 핫한 정청래 ""반기문 고소해라!"" 한겨레 청래당 전국 대번개 박지원 모욕죄 김어준의 파파이스",시민정신,반기문
2016-12-26,QJ27DluzAIQ,UCsU-I-vHLiaMfV_ceaYz5rQ,[비하인드 뉴스] 반기문 찬가?…'거목 반기문' 논란,JTBC News,반기문
2017-01-11,uD1s5mdac-o,UCs18sMwqTCMBmTqX0b2-w6A,의전 중독 반기문은 나라의 자랑이 아니라 나라의 망신. 최악의 사무총장.,유재일,반기문
