id,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,vid_id
fSjSMvIeSCU,129,0,0,0,0,fSjSMvIeSCU
UF12wjYU6YQ,7253,237,4,0,50,UF12wjYU6YQ
lYYu1g26bsg,11386,77,5,0,67,lYYu1g26bsg
pg2jEZykGic,9747,118,2,0,14,pg2jEZykGic
INr0KBfs4DA,3231,82,2,0,22,INr0KBfs4DA
C55mVp2n73w,124,0,1,0,0,C55mVp2n73w
KEFi3v_e-LQ,1445,6,17,0,13,KEFi3v_e-LQ
lQxFNnJZ66k,262,0,1,0,1,lQxFNnJZ66k
P-fs2iVYnOk,1294,2,1,0,3,P-fs2iVYnOk
wdTMknXBV8M,777,5,4,0,7,wdTMknXBV8M
9ct9tUtSK48,494,0,0,0,4,9ct9tUtSK48
jdU3Zo6ynzY,5852,81,0,0,11,jdU3Zo6ynzY
mpp-6gGyEX8,12026,143,7,0,0,mpp-6gGyEX8
1CM4vw87jFY,324,2,0,0,2,1CM4vw87jFY
Y5DMye10BDw,12755,418,3,0,66,Y5DMye10BDw
g-100Rn8ZZ0,454,3,0,0,1,g-100Rn8ZZ0
cmT1_t7wwNE,2145,4,3,0,1,cmT1_t7wwNE
ilBqj1fLnvo,667,2,4,0,2,ilBqj1fLnvo
rGwhyAeoS1k,972,1,1,0,3,rGwhyAeoS1k
4FiX1SLdWuw,4708,61,7,0,52,4FiX1SLdWuw
VB1UGCruSNU,11018,354,1,0,62,VB1UGCruSNU
ZO-bunIyk0Q,181,0,2,0,0,ZO-bunIyk0Q
qQcFBhe55jY,140,1,0,0,0,qQcFBhe55jY
GGoBT12sg9Y,170,1,2,0,3,GGoBT12sg9Y
CQDloggm6TY,6828,126,4,0,42,CQDloggm6TY
4conVIjJzBc,54,0,1,0,1,4conVIjJzBc
bLvQ4MOfe1A,7632,109,4,0,16,bLvQ4MOfe1A
SUmMtbfbAAA,135,0,2,0,1,SUmMtbfbAAA
NWePjWRNHz0,79,0,1,0,2,NWePjWRNHz0
IFt18gMSzvA,8089,284,2,0,29,IFt18gMSzvA
OB30KKz9kGs,8441,143,5,0,83,OB30KKz9kGs
lc0kh6IFz00,40524,393,15,0,163,lc0kh6IFz00
vqFFjyxrOk0,225,1,0,0,0,vqFFjyxrOk0
WFZFniduXug,4748,218,0,0,49,WFZFniduXug
uMe5H-qzRDA,277,3,0,0,3,uMe5H-qzRDA
t0wyXpLltNc,428,3,0,0,4,t0wyXpLltNc
Q-naqK8VYoM,3223,49,0,0,16,Q-naqK8VYoM
ic9FsXrFr_o,21899,253,5,0,22,ic9FsXrFr_o
ZMxJgQvGb6k,6017,203,1,0,32,ZMxJgQvGb6k
y0B98Ra3M4c,198,0,0,0,1,y0B98Ra3M4c
oRc0s7z_J_o,534,1,4,0,3,oRc0s7z_J_o
A3cHM3_Icqs,170,4,1,0,3,A3cHM3_Icqs
y_rnYrIjMYE,4574,66,6,0,26,y_rnYrIjMYE
nMW10S2lTqs,10924,431,7,0,108,nMW10S2lTqs
0qv32syJj1U,129,0,0,0,0,0qv32syJj1U
qobv88arGNE,6396,150,4,0,35,qobv88arGNE
lSiK08rlmFA,135,1,0,0,4,lSiK08rlmFA
EAJoWXFgFYY,649,0,4,0,1,EAJoWXFgFYY
bAwCp04tlY4,765,4,6,0,5,bAwCp04tlY4
N2C_6Bhso-M,1179,16,13,0,0,N2C_6Bhso-M
A6b6xhJJE9c,503,1,3,0,1,A6b6xhJJE9c
I4mqjYOdxYg,974,17,1,0,4,I4mqjYOdxYg
-vB5L4QI3og,111,0,0,0,1,-vB5L4QI3og
drTixRAVXmE,5074,113,7,0,10,drTixRAVXmE
xb49ltD_dME,2481,80,0,0,13,xb49ltD_dME
FbXeOCDxcM0,10787,405,8,0,76,FbXeOCDxcM0
xAEoKS-FCwQ,190,0,0,0,2,xAEoKS-FCwQ
pbBDGGxIx4Q,90,0,0,0,0,pbBDGGxIx4Q
81e6DIq7-AE,84,0,0,0,0,81e6DIq7-AE
Ch-V_MRlKb0,21669,135,77,0,0,Ch-V_MRlKb0
zsQ8d4LdvkA,173,0,0,0,0,zsQ8d4LdvkA
7STZMP-IW18,112,0,0,0,1,7STZMP-IW18
GKyHCQ6outw,640,1,3,0,0,GKyHCQ6outw
efFKCuhxbPs,6597,133,4,0,29,efFKCuhxbPs
szE1ZJD7pmQ,889,1,0,0,1,szE1ZJD7pmQ
m8LDNLT9zS0,3523,106,2,0,33,m8LDNLT9zS0
YqU7i3Eh4n0,159,0,0,0,1,YqU7i3Eh4n0
JJznX_s-8qs,5211,70,7,0,60,JJznX_s-8qs
c2PEqNlwQwU,314,2,1,0,3,c2PEqNlwQwU
1RAr1HCUnyA,212,0,0,0,1,1RAr1HCUnyA
BACM4IWWtRc,51,0,0,0,0,BACM4IWWtRc
9pH12g_hZ4w,878,26,1,0,0,9pH12g_hZ4w
f1YoPcW7tIA,241,0,0,0,0,f1YoPcW7tIA
9UOcxJbahP4,4027,131,0,0,14,9UOcxJbahP4
mQfZhIS6QAY,2701,8,16,0,13,mQfZhIS6QAY
iubXdNWYq6Y,96,0,0,0,0,iubXdNWYq6Y
jWrSvEtu2Eg,347,5,0,0,0,jWrSvEtu2Eg
r-SQZs4VXOE,2935,16,19,0,22,r-SQZs4VXOE
-qBTyx5bOJc,3089,70,2,0,50,-qBTyx5bOJc
ZZntslAK8eg,3911,60,4,0,24,ZZntslAK8eg
thVvS6-04i4,753,5,0,0,4,thVvS6-04i4
RyIzJu16UM4,17507,164,7,0,49,RyIzJu16UM4
i_tQpVJt_rI,7622,NA,NA,0,5,i_tQpVJt_rI
h6NWqvScXTE,647,8,2,0,0,h6NWqvScXTE
3RDLkE1RILI,43,0,0,0,0,3RDLkE1RILI
c5nq8c4tOE0,2062,0,1,0,1,c5nq8c4tOE0
n7btb9gz-eg,11531,229,8,0,30,n7btb9gz-eg
Vkw7HneAcoU,141,0,0,0,0,Vkw7HneAcoU
WmV89GOlsyM,212,1,0,0,0,WmV89GOlsyM
PUGKa8U8DNA,33317,355,23,0,74,PUGKa8U8DNA
HlYlnc_jNhE,3787,NA,NA,0,5,HlYlnc_jNhE
Y_dgSZi5sVo,4972,165,1,0,37,Y_dgSZi5sVo
v3jdyjiVeyw,189,0,0,0,0,v3jdyjiVeyw
QYHV5Xg0qYI,1411,19,10,0,5,QYHV5Xg0qYI
_51_ovdGc5Y,129,1,0,0,0,_51_ovdGc5Y
FcSXcSb2fZs,3449,146,0,0,36,FcSXcSb2fZs
YJhHr4j-AH4,41,1,0,0,0,YJhHr4j-AH4
KjAK3zXw2LI,246,2,0,0,3,KjAK3zXw2LI
NwCxy_nC_cg,6184,294,3,0,67,NwCxy_nC_cg
u55RLCJ3s_Y,258,0,4,0,2,u55RLCJ3s_Y
ZDhBcWFgMYM,52,1,0,0,1,ZDhBcWFgMYM
