"COUNTRY","Country","EMPSTAT","Employment status","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1560,,
"BEL","Belgium","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1541,,
"CAN","Canada","DE","Dependent employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1772,,
"CAN","Canada","DE","Dependent employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1764,,
"CAN","Canada","DE","Dependent employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1752,,
"CAN","Canada","DE","Dependent employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1737,,
"CAN","Canada","DE","Dependent employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1754,,
"CAN","Canada","DE","Dependent employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1746,,
"CAN","Canada","DE","Dependent employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1743,,
"CAN","Canada","DE","Dependent employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1740,,
"CAN","Canada","DE","Dependent employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1736,,
"CAN","Canada","DE","Dependent employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1703,,
"CAN","Canada","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1707,,
"CAN","Canada","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1706,,
"CAN","Canada","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1720,,
"CAN","Canada","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1714,,
"CAN","Canada","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1712,,
"CAN","Canada","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1713,,
"CAN","Canada","TE","Total employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1779,,
"CAN","Canada","TE","Total employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1771,,
"CAN","Canada","TE","Total employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1754,,
"CAN","Canada","TE","Total employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1740,,
"CAN","Canada","TE","Total employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1760,,
"CAN","Canada","TE","Total employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1747,,
"CAN","Canada","TE","Total employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1745,,
"CAN","Canada","TE","Total employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1741,,
"CAN","Canada","TE","Total employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1735,,
"CAN","Canada","TE","Total employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1701,,
"CAN","Canada","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1703,,
"CAN","Canada","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1700,,
"CAN","Canada","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1713,,
"CAN","Canada","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1707,,
"CAN","Canada","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1703,,
"CAN","Canada","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1706,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,2018,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1922,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1896,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1882,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1900,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1923,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1922,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1914,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1923,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1879,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1883,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1864,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1846.74,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1824.59,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1826.06,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1810.88,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1896,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1818,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1816,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1806,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1817,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1817,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1799,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1784,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1790,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1779,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1800,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1806,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1776,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1763,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1771,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1779,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1407.34,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1413.84,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1403.07,,
