"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FIN","Finland","CPNCU","Current prices in NCU","2009","2009","EUR","Euro","0","Units",,,35610,,
"FIN","Finland","CPNCU","Current prices in NCU","2010","2010","EUR","Euro","0","Units",,,36693,,
"FIN","Finland","CPNCU","Current prices in NCU","2011","2011","EUR","Euro","0","Units",,,38005,,
"FIN","Finland","CPNCU","Current prices in NCU","2012","2012","EUR","Euro","0","Units",,,39100,,
"FIN","Finland","CPNCU","Current prices in NCU","2013","2013","EUR","Euro","0","Units",,,39629,,
"FIN","Finland","CPNCU","Current prices in NCU","2014","2014","EUR","Euro","0","Units",,,40322,,
"FIN","Finland","CPNCU","Current prices in NCU","2015","2015","EUR","Euro","0","Units",,,40893,,
"FRA","France","CPNCU","Current prices in NCU","2000","2000","EUR","Euro","0","Units",,,25523,,
"FRA","France","CPNCU","Current prices in NCU","2001","2001","EUR","Euro","0","Units",,,26195,,
"FRA","France","CPNCU","Current prices in NCU","2002","2002","EUR","Euro","0","Units",,,27134,,
"FRA","France","CPNCU","Current prices in NCU","2003","2003","EUR","Euro","0","Units",,,27828,,
"FRA","France","CPNCU","Current prices in NCU","2004","2004","EUR","Euro","0","Units",,,28890,,
"FRA","France","CPNCU","Current prices in NCU","2005","2005","EUR","Euro","0","Units",,,29770,,
"FRA","France","CPNCU","Current prices in NCU","2006","2006","EUR","Euro","0","Units",,,30753,,
"FRA","France","CPNCU","Current prices in NCU","2007","2007","EUR","Euro","0","Units",,,31536,,
"FRA","France","CPNCU","Current prices in NCU","2008","2008","EUR","Euro","0","Units",,,32340,,
"FRA","France","CPNCU","Current prices in NCU","2009","2009","EUR","Euro","0","Units",,,32865,,
"FRA","France","CPNCU","Current prices in NCU","2010","2010","EUR","Euro","0","Units",,,33892,,
"FRA","France","CPNCU","Current prices in NCU","2011","2011","EUR","Euro","0","Units",,,34447,,
"FRA","France","CPNCU","Current prices in NCU","2012","2012","EUR","Euro","0","Units",,,35172,,
"FRA","France","CPNCU","Current prices in NCU","2013","2013","EUR","Euro","0","Units",,,35634,,
"FRA","France","CPNCU","Current prices in NCU","2014","2014","EUR","Euro","0","Units",,,36018,,
"FRA","France","CPNCU","Current prices in NCU","2015","2015","EUR","Euro","0","Units",,,36491,,
"DEU","Germany","CPNCU","Current prices in NCU","2000","2000","EUR","Euro","0","Units",,,27990,,
"DEU","Germany","CPNCU","Current prices in NCU","2001","2001","EUR","Euro","0","Units",,,28762,,
"DEU","Germany","CPNCU","Current prices in NCU","2002","2002","EUR","Euro","0","Units",,,29283,,
"DEU","Germany","CPNCU","Current prices in NCU","2003","2003","EUR","Euro","0","Units",,,29776,,
"DEU","Germany","CPNCU","Current prices in NCU","2004","2004","EUR","Euro","0","Units",,,30062,,
"DEU","Germany","CPNCU","Current prices in NCU","2005","2005","EUR","Euro","0","Units",,,30470,,
"DEU","Germany","CPNCU","Current prices in NCU","2006","2006","EUR","Euro","0","Units",,,30820,,
