dir_file_unlists,emd,v_station,votes,ballots,saenuri,minju,people,justice,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,invalid,abstain
03_data/비례대표/11충북/개표상황(투표구별)_음성군.xlsx,합계,NA,80252,42018,16020,9796,9451,1879,893,430,66,40,33,32,37,60,249,116,163,151,48,257,51,51,265,40088,1930,38234
03_data/비례대표/11충북/개표상황(투표구별)_제천시.xlsx,합계,NA,112574,63372,26982,14738,11827,3349,1346,535,76,50,46,46,44,106,383,174,332,210,41,191,93,94,310,60973,2399,49202
03_data/비례대표/11충북/개표상황(투표구별)_증평군.xlsx,합계,NA,29540,15617,5832,4046,3419,687,370,159,31,18,13,13,7,29,83,49,63,45,24,51,14,22,84,15059,558,13923
03_data/비례대표/11충북/개표상황(투표구별)_진천군.xlsx,합계,NA,55363,34960,13090,10402,6555,1353,715,395,42,41,19,29,27,64,173,88,104,152,35,69,27,57,177,33614,1346,20403
03_data/비례대표/11충북/개표상황(투표구별)_청주시상당구.xlsx,합계,NA,140911,82962,30161,23082,16387,4744,2268,653,92,77,41,35,65,103,431,241,475,412,61,550,98,60,323,80359,2603,57949
03_data/비례대표/11충북/개표상황(투표구별)_청주시서원구.xlsx,합계,NA,173740,103822,34414,29400,24444,7304,2387,646,76,73,53,50,39,107,493,269,632,294,80,254,52,39,264,101370,2452,69918
03_data/비례대표/11충북/개표상황(투표구별)_청주시청원구.xlsx,합계,NA,144568,82651,26753,24429,19220,4888,1773,790,96,80,45,49,33,110,370,232,385,666,89,185,55,45,273,80566,2085,61917
03_data/비례대표/11충북/개표상황(투표구별)_청주시흥덕구.xlsx,합계,NA,200328,110374,34314,33627,25484,7424,2625,936,127,127,45,69,46,142,549,373,581,394,122,247,66,46,306,107650,2724,89954
03_data/비례대표/11충북/개표상황(투표구별)_충주시.xlsx,합계,NA,171108,91459,38450,20706,17992,4348,2281,818,91,58,59,62,70,124,428,246,417,312,71,339,115,79,507,87573,3886,79649
03_data/비례대표/12충남/개표상황(투표구별)_계룡시.xlsx,합계,NA,31227,19540,6853,4562,5490,1021,592,106,19,16,17,10,4,26,113,33,93,84,15,17,8,7,38,19124,416,11687
03_data/비례대표/12충남/개표상황(투표구별)_공주시.xlsx,합계,NA,93933,55615,21069,15789,10220,2256,1581,524,53,39,32,18,51,89,300,113,250,319,51,150,51,74,232,53261,2354,38318
03_data/비례대표/12충남/개표상황(투표구별)_금산군.xlsx,합계,NA,46868,26160,10327,5981,5763,934,607,264,31,22,22,5,21,38,136,49,91,97,22,76,44,81,210,24821,1339,20708
03_data/비례대표/12충남/개표상황(투표구별)_논산시.xlsx,합계,NA,104047,59744,19942,16701,13074,2286,2124,709,65,45,34,26,46,90,446,135,205,403,51,134,69,92,293,56970,2774,44303
03_data/비례대표/12충남/개표상황(투표구별)_당진시.xlsx,합계,NA,132614,71514,23754,19390,16427,3911,1931,645,54,73,44,36,53,72,545,281,279,800,52,223,45,76,308,68999,2515,61100
03_data/비례대표/12충남/개표상황(투표구별)_보령시.xlsx,합계,NA,87448,52437,22870,11588,9518,2076,1392,508,72,43,48,34,45,70,335,157,172,207,47,176,48,58,385,49849,2588,35011
03_data/비례대표/12충남/개표상황(투표구별)_부여군.xlsx,합계,NA,61356,35226,15049,8257,6213,1187,1278,299,42,40,18,18,25,43,219,72,129,145,24,129,46,63,240,33536,1690,26130
03_data/비례대표/12충남/개표상황(투표구별)_서산시.xlsx,합계,NA,135422,74813,26653,18672,15010,4610,2552,865,91,97,60,71,52,114,596,256,461,685,89,206,78,76,449,71743,3070,60609
03_data/비례대표/12충남/개표상황(투표구별)_서천군.xlsx,합계,NA,49450,30407,11352,8394,4812,1020,1048,467,41,33,33,16,22,44,269,67,144,228,26,84,42,98,213,28453,1954,19043
03_data/비례대표/12충남/개표상황(투표구별)_아산시.xlsx,합계,NA,231747,123124,39824,35347,28066,8735,3331,883,92,118,52,65,37,131,786,502,620,463,109,136,54,82,371,119804,3320,108623
03_data/비례대표/12충남/개표상황(투표구별)_예산군.xlsx,합계,NA,71569,40680,18772,7314,6957,1426,1764,367,61,34,27,26,32,84,338,106,215,278,47,166,37,71,385,38507,2173,30889
03_data/비례대표/12충남/개표상황(투표구별)_천안시동남구.xlsx,합계,NA,306521,159863,51101,43875,40426,10093,4148,1201,138,179,87,81,56,151,1045,604,1158,503,142,260,92,83,442,155865,3998,146658
03_data/비례대표/12충남/개표상황(투표구별)_천안시서북구.xlsx,합계,NA,170095,90827,24553,28820,23135,7108,2192,756,67,77,40,34,19,92,521,347,547,286,67,103,34,54,182,89034,1793,79268
03_data/비례대표/12충남/개표상황(투표구별)_청양군.xlsx,합계,NA,28205,17060,7893,3789,2734,494,351,124,26,16,6,12,11,27,80,48,162,62,11,67,16,34,87,16050,1010,11145
03_data/비례대표/12충남/개표상황(투표구별)_태안군.xlsx,합계,NA,54666,32203,13956,6176,5488,1209,1506,443,62,36,21,22,32,58,208,89,142,149,39,99,81,72,340,30228,1975,22463
03_data/비례대표/12충남/개표상황(투표구별)_홍성군.xlsx,합계,NA,78686,45216,18008,8590,9124,2060,1532,451,61,51,38,27,42,101,322,152,1268,226,62,162,45,53,415,42790,2426,33470
03_data/비례대표/13전북/개표상황(투표구별)_고창군.xlsx,합계,NA,50885,32494,1537,8017,13154,1459,882,2361,93,55,67,25,61,80,240,121,144,1482,61,84,147,180,200,30450,2044,18391
03_data/비례대표/13전북/개표상황(투표구별)_군산시.xlsx,합계,NA,223366,129762,10155,40722,54374,11013,3841,2274,112,115,71,62,59,116,1016,389,579,685,108,36,107,116,162,126112,3650,93604
03_data/비례대표/13전북/개표상황(투표구별)_김제시.xlsx,합계,NA,76085,47987,3076,12070,22610,4560,1313,954,48,19,31,12,28,46,397,87,156,203,32,28,87,76,112,45945,2042,28098
03_data/비례대표/13전북/개표상황(투표구별)_남원시.xlsx,합계,NA,70204,48153,3309,14628,19597,2420,1290,1775,115,878,135,33,52,99,371,171,439,624,64,90,80,139,149,46458,1695,22051
03_data/비례대표/13전북/개표상황(투표구별)_무주군.xlsx,합계,NA,21635,14803,1461,5894,4701,718,325,361,36,17,16,15,19,25,84,26,54,89,18,16,34,50,49,14008,795,6832
03_data/비례대표/13전북/개표상황(투표구별)_부안군.xlsx,합계,NA,48810,29875,1960,10700,10889,1997,884,807,38,17,20,13,26,45,174,64,213,199,29,31,55,117,94,28372,1503,18935
03_data/비례대표/13전북/개표상황(투표구별)_순창군.xlsx,합계,NA,25353,17385,972,4917,7373,612,377,733,66,213,46,7,29,23,113,62,96,736,28,39,60,71,74,16647,738,7968
03_data/비례대표/13전북/개표상황(투표구별)_완주군.xlsx,합계,NA,77583,50273,3260,15373,20981,3874,1588,1213,60,42,39,33,29,53,426,136,343,474,30,21,90,88,90,48243,2030,27310
03_data/비례대표/13전북/개표상황(투표구별)_익산시.xlsx,합계,NA,244756,147248,12048,45442,60578,12367,5204,2563,181,101,77,60,76,172,1334,361,634,1051,119,40,159,179,248,142994,4254,97508
03_data/비례대표/13전북/개표상황(투표구별)_임실군.xlsx,합계,NA,25886,16968,1393,4749,7032,889,486,506,52,281,33,17,21,27,122,51,82,170,26,40,58,70,60,16165,803,8918
03_data/비례대표/13전북/개표상황(투표구별)_장수군.xlsx,합계,NA,19963,13707,930,4757,5059,765,347,338,20,21,19,10,12,23,81,53,136,108,13,17,44,60,55,12868,839,6256
